N. POZZO;X_GBO;Y_GBO;COMUNE;PROV;QUOTA P.R. [mslm];QUOTA P.C. [mslm];FALDA;PROFONDITA' [m];DATI da;DATI a
56;1,731,021,384;5,026,500,546;LEGNARO;PD;7.82;7,82;falda confinata;170;1999;2021
58;1,715,257,708;5,035,798,293;MESTRINO;PD;17.23;17,79;falda confinata;60;1999;2021
60;1728400;5044100;CAMPODARSEGO;PD;17.42;17,42;falda confinata;230;1999;2021
66;1,718,684,635;5,028,563,023;ABANO TERME;PD;14.2;13,35;falda libera;4,76;1999;2006
67;1,716,639,537;5,030,407,907;SACCOLONGO;PD;15.78;15,46;falda libera;4,09;1999;2012
68;1,730,317,354;5,011,735,085;ARRE;PD;2.19;0,74;falda libera;3,63;1999;2009
69;1,710,701,732;5,050,968,115;GAZZO;PD;35.74;35,49;falda libera;1,76;1999;2021
73;1,714,791,945;5,036,060,418;MESTRINO;PD;19.12;18,32;falda libera;3,48;1999;2003
75;1,722,368,631;5,055,420,122;VILLA DEL CONTE;PD;35.88;35,12;falda libera;2,85;1999;2021
76;1,716,756,172;5,058,436,226;CITTADELLA;PD;47.11;46,92;falda libera;9;1999;2008
77;1,726,325,576;5,017,709,142;CARTURA;PD;4.57;3,87;falda libera;4,7;1999;2003
78;1,700,117,414;5,010,523,193;SANTA MARGHERITA D'ADIGE;PD;13.1;11,97;falda libera;5,86;1999;2007
79;1,734,017,248;5,050,128,549;MASSANZAGO;PD;19.82;18,95;falda libera;3,63;1999;2012
80;1,710,772,979;5,003,269,055;VILLA ESTENSE;PD;6.51;5,56;falda libera;5,16;1999;2021
82;1,714,383,657;5,008,333,188;MONSELICE;PD;6.99;5,89;falda libera;4,5;1999;2009
83;1718616,54;5009349,42;POZZONOVO;PD;5.16;4,99;falda libera;4,25;1999;2009
84;1,744,607,874;5,017,772,451;CODEVIGO;PD;-0.62;-1,56;falda libera;3,83;1999;2009
85;1,709,106,177;5,010,720,909;ESTE;PD;11.23;10,19;falda libera;4,9;1999;2009
86;1,701,187,643;5,000,177,855;PIACENZA D'ADIGE;PD;6.65;5,74;falda libera;5,6;1999;2021
87;1,692,693,473;5,013,443,483;MONTAGNANA;PD;15.06;14,29;falda libera;5,24;1999;2009
239;1,721,567,069;5,059,594,582;SAN MARTINO DI LUPARI;PD;39.76;44,63;falda libera;16,2;1999;2021
241;1,711,933,578;5,059,413,728;CITTADELLA;PD;48;52,09;falda libera;23;1999;2021
513;1718209,76;5,059,012,157;CITTADELLA;PD;47.11;47,2;falda libera;12,98;2001;2021
514;1,719,783,273;5,059,252,846;TOMBOLO;PD;41.33;46,32;falda libera;12,6;2001;2021
515;1,721,774,152;5,059,941,278;SAN MARTINO DI LUPARI;PD;45.95;44,72;falda libera;8,8;2001;2021
518;1,722,027,995;5,060,722,884;SAN MARTINO DI LUPARI;PD;40.54;47,58;falda libera;13,7;2001;2021
975;1710729;5031720;CERVARESE SANTA CROCE;PD;;;falda libera;6;2010;2021
976;1724669;5022157;MASERA' DI PADOVA;PD;;;falda libera;6;2010;2021
977;1726131;5012177;CONSELVE;PD;;;falda libera;6;2010;2021
978;1715729;5012902;MONSELICE;PD;;;falda libera;6;2010;2021
979;1692876;5011652;MONTAGNANA;PD;;;falda libera;6;2010;2021
980;1694495;5007029;CASALE DI SCODOSIA;PD;;;falda libera;6;2010;2021
981;1742806;5017522;CODEVIGO;PD;;;falda libera;6;2010;2021
1029;1734522,1;5049724,05;MASSANZAGO;PD;;;falda libera;9;2012;2021
1030;1725243,23;5049897,21;SANTA GIUSTINA IN COLLE;PD;;;falda libera;9;2012;2021
1031;1719030,41;5044817,47;PIAZZOLA SUL BRENTA;PD;;;falda libera;9;2012;2021
1032;1736385,39;5054825,45;TREBASELEGHE;PD;;;falda libera;8,5;2012;2021
1033;1715526,71;5035190,61;MESTRINO;PD;;;falda libera;9;2012;2021
1034;1715526,71;5035190,61;MESTRINO;PD;;;falda confinata;20;2012;2021
1035;1725503,94;5036664,74;PADOVA;PD;;;falda libera;9;2012;2021
1036;1722135,1;5032370,18;PADOVA;PD;;;falda libera;9;2012;2021
1037;1733394,11;5041766,46;VILLANOVA DI CAMPOSAMPIERO;PD;;;falda libera;11;2012;2021
1038;1735645,07;5025018,01;SANT'ANGELO DI PIOVE DI SACCO;PD;;;falda libera;9;2012;2021
1039;1722328,6;5003387,63;POZZONOVO;PD;;;falda libera;9;2012;2021
1040;1722328,6;5003387,63;POZZONOVO;PD;;;falda confinata;20;2012;2021
1041;1715951,98;5016796,91;MONSELICE;PD;;;falda libera;9;2012;2021
1042;1736711,94;5011449,55;CANDIANA;PD;;;falda libera;9;2012;2013
1043;1709281,11;4998212,32;BARBONA;PD;;;falda libera;8,5;2012;2021
1044;1737154,53;5010467,24;CORREZZOLA;PD;;;falda libera;9;2012;2021
1045;1731307,02;5025735,12;LEGNARO;PD;;;falda libera;9;2012;2021
1046;1689155,06;5014262,55;MONTAGNANA;PD;;;falda libera;8,5;2012;2021
1068;1688960,1;5008433,06;URBANA;PD;;;falda libera;9;2012;2021
;;;;;;;;;;
;;;;;;;;;;
P.R.= punto di riferimento. E' un punto fisso, quotato (m. s.l.m.), che può o meno coincidere col piano campagna (P.C.), dal quale vengono effettuate le misure freatimetriche e piezometriche.;;;;;;;;;;
